id,display_name,works_count,h_index,country_code,works_api_url
https://openalex.org/A5032122455,Jeh‐Jeng Wang,384,35,TW,https://api.openalex.org/works?filter=author.id:A5032122455
https://openalex.org/A5016057473,Henrik Olsson,203,36,SE,https://api.openalex.org/works?filter=author.id:A5016057473
https://openalex.org/A5075417449,Tomohiro Murakami,124,17,JP,https://api.openalex.org/works?filter=author.id:A5075417449
https://openalex.org/A5035143437,Koji Suzuki,792,65,JP,https://api.openalex.org/works?filter=author.id:A5035143437
https://openalex.org/A5061837561,Ivan Burkov,14,3,US,https://api.openalex.org/works?filter=author.id:A5061837561
https://openalex.org/A5083334761,Derek Aguiar,38,9,IS,https://api.openalex.org/works?filter=author.id:A5083334761
https://openalex.org/A5046542764,Eric Malmi,84,21,FI,https://api.openalex.org/works?filter=author.id:A5046542764
https://openalex.org/A5085287152,Bryan Li,91,18,CN,https://api.openalex.org/works?filter=author.id:A5085287152
https://openalex.org/A5101932298,Wenxuan Huang,51,23,CN,https://api.openalex.org/works?filter=author.id:A5101932298
https://openalex.org/A5100320371,Yongjun Zhang,345,57,US,https://api.openalex.org/works?filter=author.id:A5100320371
https://openalex.org/A5106620976,Yujin Potter,4,2,US,https://api.openalex.org/works?filter=author.id:A5106620976
https://openalex.org/A5036322364,Soham De,92,24,IN,https://api.openalex.org/works?filter=author.id:A5036322364
https://openalex.org/A5110265657,Edgar Senior Associate Editor Achkar,1,1,US,https://api.openalex.org/works?filter=author.id:A5110265657
https://openalex.org/A5086827245,Ceren Budak,102,22,US,https://api.openalex.org/works?filter=author.id:A5086827245
https://openalex.org/A5084955495,Jisun An,174,30,DK,https://api.openalex.org/works?filter=author.id:A5084955495
https://openalex.org/A5079270160,Lukas Erhard,8,4,DE,https://api.openalex.org/works?filter=author.id:A5079270160
https://openalex.org/A5033847936,Sijia Qian,18,8,CN,https://api.openalex.org/works?filter=author.id:A5033847936
https://openalex.org/A5015797850,Nabeel Gillani,37,10,US,https://api.openalex.org/works?filter=author.id:A5015797850
https://openalex.org/A5069298278,Davide Longo,10,4,CH,https://api.openalex.org/works?filter=author.id:A5069298278
https://openalex.org/A5091314544,Dorottya Kisfalusi,35,9,HU,https://api.openalex.org/works?filter=author.id:A5091314544
https://openalex.org/A5008307390,Moh Hosseinioun,2,1,PH,https://api.openalex.org/works?filter=author.id:A5008307390
https://openalex.org/A5056247832,Chloe Ahn,4,3,US,https://api.openalex.org/works?filter=author.id:A5056247832
https://openalex.org/A5039516755,Qian Shen,131,35,CN,https://api.openalex.org/works?filter=author.id:A5039516755
https://openalex.org/A5064274071,David Kempe,192,44,US,https://api.openalex.org/works?filter=author.id:A5064274071
https://openalex.org/A5102791025,Devansh Jain,13,5,IN,https://api.openalex.org/works?filter=author.id:A5102791025
https://openalex.org/A5007699920,Isak Ladegaard,17,11,AU,https://api.openalex.org/works?filter=author.id:A5007699920
https://openalex.org/A5100443683,Lin Chen,60,19,CN,https://api.openalex.org/works?filter=author.id:A5100443683
https://openalex.org/A5043406907,Jiahong Yuan,104,22,US,https://api.openalex.org/works?filter=author.id:A5043406907
https://openalex.org/A5095383854,Ihsan Kahveci,1,1,,https://api.openalex.org/works?filter=author.id:A5095383854
https://openalex.org/A5033297158,Anoushka Kiyawat,5,1,US,https://api.openalex.org/works?filter=author.id:A5033297158
https://openalex.org/A5076193392,Brenda Curtis,144,25,US,https://api.openalex.org/works?filter=author.id:A5076193392
https://openalex.org/A5101754192,Giuseppe Russo,177,24,IT,https://api.openalex.org/works?filter=author.id:A5101754192
https://openalex.org/A5006314379,Anastasia Kozyreva,37,13,DE,https://api.openalex.org/works?filter=author.id:A5006314379
https://openalex.org/A5066901038,Sheryl Hui-Xian Ng,62,19,SG,https://api.openalex.org/works?filter=author.id:A5066901038
https://openalex.org/A5056015605,Anna M. Lieb,2,2,US,https://api.openalex.org/works?filter=author.id:A5056015605
https://openalex.org/A5098344773,University of London. Les Back Goldsmiths' College,1,1,,https://api.openalex.org/works?filter=author.id:A5098344773
https://openalex.org/A5074392155,Jungsik Choi,188,22,KR,https://api.openalex.org/works?filter=author.id:A5074392155
https://openalex.org/A5075518230,Kathrin Zippel,55,14,US,https://api.openalex.org/works?filter=author.id:A5075518230
https://openalex.org/A5096477018,Liberal Arts Computer Science Consortium,1,1,,https://api.openalex.org/works?filter=author.id:A5096477018
https://openalex.org/A5085949327,Meera Desai,15,5,GB,https://api.openalex.org/works?filter=author.id:A5085949327
https://openalex.org/A5109187560,Xiao-Ming Yin,101,64,CN,https://api.openalex.org/works?filter=author.id:A5109187560
https://openalex.org/A5082283204,Panayiotis Smeros,20,6,GR,https://api.openalex.org/works?filter=author.id:A5082283204
https://openalex.org/A5101925935,Arunas Radzvilavicius,21,5,CH,https://api.openalex.org/works?filter=author.id:A5101925935
https://openalex.org/A5100380042,Jiayu Chen,326,42,CN,https://api.openalex.org/works?filter=author.id:A5100380042
https://openalex.org/A5095510348,B. Wang Tsinghua University,2,1,CN,https://api.openalex.org/works?filter=author.id:A5095510348
https://openalex.org/A5072281431,Lisa Oswald,16,7,US,https://api.openalex.org/works?filter=author.id:A5072281431
https://openalex.org/A5033543507,Baird Howland,6,4,US,https://api.openalex.org/works?filter=author.id:A5033543507
https://openalex.org/A5064995758,Stuart Duncan Smith,8,6,NL,https://api.openalex.org/works?filter=author.id:A5064995758
https://openalex.org/A5100652499,Huimin Xu,321,40,CN,https://api.openalex.org/works?filter=author.id:A5100652499
https://openalex.org/A5039940068,Charles Axelsson,4,4,GB,https://api.openalex.org/works?filter=author.id:A5039940068
https://openalex.org/A5011499718,Zubair Shafiq,133,21,AU,https://api.openalex.org/works?filter=author.id:A5011499718
https://openalex.org/A5100670942,Minyoung Kim,391,23,JP,https://api.openalex.org/works?filter=author.id:A5100670942
https://openalex.org/A5071794190,Yulin Yu,23,11,CN,https://api.openalex.org/works?filter=author.id:A5071794190
https://openalex.org/A5088363723,Neha Kumar,173,32,PR,https://api.openalex.org/works?filter=author.id:A5088363723
https://openalex.org/A5091097798,Naifu Zhang,43,10,CN,https://api.openalex.org/works?filter=author.id:A5091097798
https://openalex.org/A5040957572,Sebastian Stier,104,25,DE,https://api.openalex.org/works?filter=author.id:A5040957572
https://openalex.org/A5078974283,Apostolos Fasianos,26,8,US,https://api.openalex.org/works?filter=author.id:A5078974283
https://openalex.org/A5002706612,Eileen Chen,2,2,US,https://api.openalex.org/works?filter=author.id:A5002706612
https://openalex.org/A5090252428,Anastasia Kuzminykh,49,8,RU,https://api.openalex.org/works?filter=author.id:A5090252428
https://openalex.org/A5106987178,Rikuei Kaku,1,0,JP,https://api.openalex.org/works?filter=author.id:A5106987178
https://openalex.org/A5013134790,Jun Luo,485,104,CN,https://api.openalex.org/works?filter=author.id:A5013134790
https://openalex.org/A5092418418,Ramtin Ehsani,10,2,US,https://api.openalex.org/works?filter=author.id:A5092418418
https://openalex.org/A5082503864,Akihiro Inomata,1,0,,https://api.openalex.org/works?filter=author.id:A5082503864
https://openalex.org/A5101890757,Nan Feng,118,20,US,https://api.openalex.org/works?filter=author.id:A5101890757
https://openalex.org/A5100334733,Yuan Yuan,1186,79,GB,https://api.openalex.org/works?filter=author.id:A5100334733
https://openalex.org/A5062030841,Hans-Christoph Quelle,6,3,FR,https://api.openalex.org/works?filter=author.id:A5062030841
https://openalex.org/A5077228817,Peter N. Dodds,268,69,US,https://api.openalex.org/works?filter=author.id:A5077228817
https://openalex.org/A5100435139,Jingwen Zhang,398,46,CN,https://api.openalex.org/works?filter=author.id:A5100435139
https://openalex.org/A5071615041,Dora Zhao,15,5,US,https://api.openalex.org/works?filter=author.id:A5071615041
https://openalex.org/A5100350852,Mengyi Zhang,18,5,BE,https://api.openalex.org/works?filter=author.id:A5100350852
https://openalex.org/A5033547967,Casey Doyle,32,5,AU,https://api.openalex.org/works?filter=author.id:A5033547967
https://openalex.org/A5064735018,Niccolò Pescetelli,57,11,GB,https://api.openalex.org/works?filter=author.id:A5064735018
https://openalex.org/A5043382223,Babak Hemmatian,31,4,US,https://api.openalex.org/works?filter=author.id:A5043382223
https://openalex.org/A5039966234,Francisco Barreras,24,3,,https://api.openalex.org/works?filter=author.id:A5039966234
https://openalex.org/A5081114479,Likun Cao,25,13,CN,https://api.openalex.org/works?filter=author.id:A5081114479
https://openalex.org/A5008439962,Stefan M. Herzog,124,26,CH,https://api.openalex.org/works?filter=author.id:A5008439962
https://openalex.org/A5110448998,Zhijian Zheng,14,8,CN,https://api.openalex.org/works?filter=author.id:A5110448998
https://openalex.org/A5012265353,Nina J. Wang,43,14,NO,https://api.openalex.org/works?filter=author.id:A5012265353
https://openalex.org/A5059093872,Stanford University,1,1,,https://api.openalex.org/works?filter=author.id:A5059093872
https://openalex.org/A5111264644,Matias Piqueras,1,1,,https://api.openalex.org/works?filter=author.id:A5111264644
https://openalex.org/A5063065481,Josephine Lukito,55,16,US,https://api.openalex.org/works?filter=author.id:A5063065481
https://openalex.org/A5004831881,The Lancet Public Health,94,17,,https://api.openalex.org/works?filter=author.id:A5004831881
https://openalex.org/A5023958655,Hiroki Nakajima,114,19,JP,https://api.openalex.org/works?filter=author.id:A5023958655
https://openalex.org/A5048877432,Bruno Lepri,344,47,IT,https://api.openalex.org/works?filter=author.id:A5048877432
https://openalex.org/A5074372343,Nobuhito Abe,137,27,JP,https://api.openalex.org/works?filter=author.id:A5074372343
https://openalex.org/A5047170063,Ying Ding,740,63,CN,https://api.openalex.org/works?filter=author.id:A5047170063
https://openalex.org/A5108514130,Natalie A Castro,1,1,AU,https://api.openalex.org/works?filter=author.id:A5108514130
https://openalex.org/A5102318346,Xueyan Gao,46,11,CN,https://api.openalex.org/works?filter=author.id:A5102318346
https://openalex.org/A5062168541,Neil Fasching,10,4,NL,https://api.openalex.org/works?filter=author.id:A5062168541
https://openalex.org/A5038158438,Yannick Thams,24,9,US,https://api.openalex.org/works?filter=author.id:A5038158438
https://openalex.org/A5020380520,Zhaoyin Chu,2,0,CN,https://api.openalex.org/works?filter=author.id:A5020380520
https://openalex.org/A5038076018,Head Northwestern University Medical School,1,1,,https://api.openalex.org/works?filter=author.id:A5038076018
https://openalex.org/A5016665259,Ryo Sasaki,198,22,JP,https://api.openalex.org/works?filter=author.id:A5016665259
https://openalex.org/A5075585231,Samuel P. Fraiberger,50,14,US,https://api.openalex.org/works?filter=author.id:A5075585231
https://openalex.org/A5029768249,Yong Li,3639,80,CN,https://api.openalex.org/works?filter=author.id:A5029768249
