0
Giona Casiraghi
Vincent Buskens
Sota Watanabe
Vera Rocha
Zhixuan Zhou
Emma Spiro
Yiwei Luo
Sharad Goel
Arnault Chatelain
Tobias Felix Werner
Chiara Chiavenna
Alex Pentland
Paola Tubaro
Ryota Kobayashi
salvatore Citraro
Paweł Jurek
Aniko Hannak
Damin Lee
Martin Gerlach
Jesse Piburn
Luca Verginer
Nikolitsa Grigoropoulou
Mirco Musolesi
Laura Hernandez
Tianshu Chen
Tenzin Tamang
Xiaodan Lou
Luiz Neves
Rubing Shen
Emma Hoes
Jan Philipp Rau
Feiyang Zhang
Satoshi Tohda
Sahar Baribi Bartov
Rodger Richer
Alina Sirbu
Shelby Grossman
Lonjezo Dzekedzeke
Max Lagencamp
Keeley Erhardt
Corine Meppelink
Valentina Semenova
Jonathan Zhu
Aaron Clauset
Mohammed Alsobay
Bennard Doornbos
Malte Jung
Veniamin Veselovsky
Frank Pijpers
Armin Pournaki
Michael Vincent Arnold
Shahar Somin
Hao Cui
Maryna Sydorova
Anastasia Karpova
Haaya Naushan
Carlos Rodriguez Sickert
Tom Grad
Sarah Tell
Katayoun Farrahi
Mengjie Cheng
Niccolo Pescetelli
Clara Vandeweerdt
Douglas Richard Guilbeault
Lester Mackey
Aidar Zinnatullin
Manoel Ribeiro
Omar Guerrero
Nicola Perra
Ke Zhou
Alexandra Florea
Renaud Lambiotte
Denis Bonnay
Mahnaz Roshanaei
Marieke Van Hoof
Anne Cathrine Linder
Andres Castro Torres
Thomas Louf
Lea Biere
Mingmeng Geng
Mikiko Shimaoka
Allison Koenecke
Matteo Palmonari
Ana Macanovic
Veronika Batzdorfer
Enrico Cantoni
Leslie DeChurch
Connor Cantrell
Isabela Ines
Javier Urena Carrion
Simone Centellegher
Joshua Garland
Darren Croft
George Fletcher
Tiago Oliveira Cunha
Takeaki Uno
Johann Schaible
Xiaoya Chen
Nikolaj Arpe Harmon
Sonja Walter
Sonja Schmer Galunder
Dennis Assenmacher
Babak Heydari
Nicole Nisbett
Elena Pavan
Michele Tizzoni
Miquel Montero
Magdalena Formanowicz
D  Sunshine Hillygus
Anjali Bhatt
Ronald Robertson
Rob Chew
Laetitia Gauvin
Morten Mørup
Camille Landesvatter
Manju Bura
Agnieszka Falenska
Michael Inzlicht
Pascal Van Hentenryck
Segun Aroyehun
franco scarselli
Claudia Acciai
Kongmeng Liew
Simon Martin Breum
Hannah Metzler
Takahiro Yabe
Wojtek Przepiorka
Sagar Kumar
Kevin Munger
Zishan Lan
Amy Dunphy
Szymon Talaga
Christoph Kern
Silvia De Sojo Caso
Juan Carlos Rocha
Philipp Kessling
Seoyoung Kweon
Nguyen Luong
Beatrice Bonami
Cameron Lai
Clemens Lechner
Masanori Hirano
Eliza Stenzhorn
Xinran Wang
Yara Kyrychenko
Bhargav Srinivasa Desikan
Javier Alvarez Galvez
Carlson Moses Buth
Genki Ichinose
Meghan Armstrong
Zhen Xu
Guilherme Lichand
Emoke Agnes Horvat
Matthew Edwards
Samar Haider
Jonas Raaschou Pedersen
Kristina Gligoric
Ana Julia Bonzanini Bernardi
Mattia Samory
Roberto Mavilia
Vjosa Preniqi
Renzo Bianchi
Daniela Perrotta
Alexandre Evsukoff
Eckehard Olbrich
Hriday Chheda
Christian Staal Bruun Overgaard
Etienne Ollion
Hendrik Meyer
Ruben Rodriguez Casan
Stephanie Eckman
Bethany Hsiao
Mario Castro
Andrea Gentili
Alessandro De Gaetano
Jason Hiigh Thompson
Christian Vestergaard
Xiaoran Yan
Pia Gutsmiedl
Giada Marino
Filippo Menczer
Monica Bianchini
Orestis Papakyriakopoulos
Ollie Ballinger
Kiran Garimella
Stefan Katz
Damiano Morando
Aymeric Luneau
Samuel Fraiberger
Robert Mahari
Christine Vega Pourheydarian
Nate Holers
Peter Dodds
Giorgio Tripodi
Jack LaViolette
Indira Sen
Filipi Nascimento Silva
Ashton Anderson
Akira Hashimoto
Massimo Stella
Joachim Baumann
Laurence Brandenberger
Ronaldo Menezes
Christoph Bartenhagen
Sagar Joglekar
Samantha Vanderslott
Saverio Bolognani
Riccardo Gallotti
Roeland Dubel
Elohim Fonseca dos Reis
Homa Hosseinmardi
Elias Fernandez Domingos
Silvia Ioana Fierascu
Manlio De Domenico
Jesus Berrios
Ardon Shorr
Gael Le Mens
Anna Di Natale
Orsolya Vasarhelyi
Fujio Toriumi
Nir Grinberg
David Mimno
Stefan Wuchty
Fabio Carrella
Dan Dai
Alina Herderich
Taylor Jones
Fionneke Bos
Sima Farokhnejad
Eraldo Ribeiro
Fredrik Jansson
Jiaxin Pei
Narayani Vedam
Morgan Ryan Frank
Sukrit Venkatagiri
Athina Anastasiadou
Alexander Sobieska
